Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP,Player-additional
83,Kennedy Chandler,PG,20,MEM,15,154,10.7,.418,.235,.176,2.1,13.5,7.9,29.2,2.5,2.4,19.1,18.1,,-0.2,0.2,0.1,.020,,-3.1,1.2,-1.9,0.0,chandke01
84,Max Christie,SG,19,LAL,19,239,6.9,.512,.642,.113,2.3,16.6,9.7,4.7,0.6,0.7,8.2,10.7,,0.0,0.2,0.2,.033,,-2.8,-1.2,-4.0,-0.1,chrisma02
85,Josh Christopher,SG,21,HOU,20,138,7.7,.469,.264,.151,3.9,12.7,8.3,13.2,1.8,0.7,17.5,20.5,,-0.2,0.1,-0.1,-0.039,,-5.4,-1.1,-6.4,-0.2,chrisjo01
86,Brandon Clarke,PF,26,MEM,33,648,19.7,.681,.028,.387,7.4,21.6,14.6,9.0,1.1,3.5,13.0,18.0,,1.5,1.0,2.6,.191,,0.5,1.6,2.1,0.7,clarkbr01
87,Jordan Clarkson,SG,30,UTA,36,1168,15.1,.555,.456,.214,3.8,9.5,6.6,21.0,0.7,0.7,13.4,27.4,,0.9,0.4,1.4,.057,,1.4,-2.5,-1.1,0.3,clarkjo01
88,Nic Claxton,C,23,BRK,32,899,21.2,.712,.004,.378,10.7,23.4,17.4,7.0,1.4,7.4,12.4,15.2,,2.2,1.6,3.8,.202,,1.1,1.7,2.8,1.1,claxtni01
89,Amir Coffey,SG,25,LAC,29,404,7.8,.524,.299,.471,3.1,5.8,4.5,11.5,0.7,0.4,11.0,12.7,,0.2,0.3,0.6,.069,,-4.2,0.2,-4.0,-0.2,coffeam01
90,John Collins,PF,25,ATL,27,826,14.2,.573,.317,.257,3.9,23.6,13.6,5.8,1.3,3.7,10.0,16.9,,0.6,1.2,1.8,.103,,-1.7,1.1,-0.6,0.3,collijo01
91,Zach Collins,PF,25,SAS,23,480,14.6,.614,.270,.291,10.5,21.0,15.5,17.2,1.0,3.9,23.4,18.9,,0.3,0.3,0.6,.058,,-2.6,0.3,-2.3,0.0,colliza01
92,Mike Conley,PG,35,UTA,26,755,12.8,.508,.571,.204,1.4,7.0,4.2,33.8,1.8,0.6,14.6,16.0,,1.1,0.5,1.5,.097,,-0.1,-0.3,-0.5,0.3,conlemi01
93,Pat Connaughton,SG,30,MIL,18,364,8.6,.479,.742,.137,3.0,15.4,9.3,6.4,1.2,0.7,6.4,16.2,,0.0,0.4,0.4,.053,,-2.6,-0.4,-3.0,-0.1,connapa01
94,Robert Covington,PF,32,LAC,20,312,10.9,.512,.629,.175,3.2,21.3,12.5,11.0,1.6,3.7,12.6,16.7,,0.0,0.6,0.5,.080,,-2.8,2.4,-0.3,0.1,covinro01
95,Torrey Craig,SF,32,PHO,33,819,13.9,.595,.529,.095,8.8,15.4,12.0,8.2,1.4,2.5,9.1,13.2,,1.4,0.8,2.2,.130,,0.5,0.3,0.9,0.6,craigto01
96,Jarrett Culver,SG,23,ATL,10,137,9.8,.452,.279,.302,7.7,22.6,14.9,5.7,2.1,1.2,12.6,17.1,,-0.1,0.2,0.1,.024,,-4.8,0.6,-4.3,-0.1,culveja01
97,Cade Cunningham,PG,21,DET,12,400,14.6,.492,.272,.192,3.2,17.5,10.2,31.1,1.2,1.5,13.8,29.8,,-0.3,0.2,-0.1,-0.011,,0.2,-1.0,-0.8,0.1,cunnica01
98,Seth Curry,SG,32,BRK,23,485,10.8,.562,.559,.112,1.3,9.0,5.4,14.1,1.4,0.7,11.5,17.6,,0.3,0.4,0.6,.063,,-2.0,-0.8,-2.8,-0.1,curryse01
99,Stephen Curry,PG,34,GSW,26,894,26.5,.668,.576,.258,2.0,18.8,10.6,33.8,1.4,0.9,12.2,31.2,,3.2,0.9,4.1,.222,,8.6,0.8,9.4,2.6,curryst01
100,Dyson Daniels,PG,19,NOP,25,493,10.3,.564,.382,.235,3.9,16.0,10.0,14.2,1.8,1.1,17.0,11.6,,0.3,0.7,1.0,.097,,-2.3,1.6,-0.8,0.1,daniedy01
101,Anthony Davis,C,29,LAL,25,836,31.9,.662,.072,.469,10.4,27.9,19.4,13.8,1.9,5.4,8.3,28.6,,3.5,1.4,4.9,.279,,6.4,2.1,8.5,2.2,davisan02
102,Johnny Davis,SG,20,WAS,10,50,1.1,.384,.231,.231,2.3,13.1,7.8,5.1,0.0,1.7,6.5,13.4,,-0.1,0.0,0.0,-0.038,,-10.4,-2.0,-12.4,-0.1,davisjo06
103,Terence Davis,SG,25,SAC,27,363,14.6,.575,.673,.109,3.8,17.7,10.9,13.9,2.6,1.8,12.8,22.0,,0.2,0.5,0.6,.086,,-0.4,0.9,0.4,0.2,daviste02
104,JD Davison,PG,20,BOS,3,8,0.2,.250,.500,.000,0.0,13.5,6.9,16.8,6.0,0.0,20.0,27.2,,-0.1,0.0,0.0,-0.271,,-13.3,0.0,-13.2,0.0,davisjd01
105,Dewayne Dedmon,C,33,MIA,26,316,17.0,.587,.295,.344,9.1,26.9,17.7,7.8,0.9,3.8,10.8,22.1,,0.4,0.5,0.9,.134,,-1.6,0.3,-1.3,0.1,dedmode01
106,Matthew Dellavedova,PG,32,SAC,14,100,5.5,.370,.435,.130,1.2,4.5,2.9,24.6,2.8,0.0,19.8,12.9,,-0.1,0.1,0.0,-0.007,,-5.2,1.0,-4.3,-0.1,dellama01
107,DeMar DeRozan,SF,33,CHI,34,1224,22.6,.604,.076,.454,1.7,14.6,8.1,22.8,1.2,1.2,8.1,28.9,,3.4,1.0,4.5,.175,,2.9,-0.1,2.8,1.5,derozde01
108,Moussa Diabaté,PF,21,LAC,8,90,17.7,.590,.000,.375,25.0,14.3,19.5,3.3,1.6,1.0,15.2,15.9,,0.2,0.1,0.3,.171,,-0.8,-1.0,-1.7,0.0,diabamo01
109,Mamadi Diakite,PF,26,CLE,11,83,8.3,.571,.571,.000,4.4,11.1,7.9,3.4,1.2,5.7,19.2,14.0,,0.0,0.1,0.1,.058,,-4.2,2.3,-1.9,0.0,diakima01
110,Hamidou Diallo,SG,24,DET,30,433,13.5,.548,.101,.486,6.9,15.2,10.9,9.8,1.9,1.0,11.8,19.9,,0.2,0.3,0.5,.054,,-2.3,-0.2,-2.5,-0.1,diallha01
111,Gorgui Dieng,C,33,SAS,12,141,11.2,.524,.705,.091,9.1,22.4,15.5,20.7,0.3,3.0,20.8,17.0,,0.0,0.1,0.1,.029,,-2.5,-0.1,-2.6,0.0,dienggo01
112,Ousmane Dieng,SF,19,OKC,14,220,9.6,.502,.576,.068,2.8,16.6,9.6,11.9,1.1,1.6,10.3,12.8,,0.0,0.2,0.2,.054,,-2.3,0.2,-2.0,0.0,diengou01
113,Spencer Dinwiddie,PG,29,DAL,34,1110,17.1,.604,.531,.223,1.6,10.2,5.9,25.6,1.4,0.7,10.4,21.2,,2.5,0.9,3.4,.145,,2.6,-0.7,1.9,1.1,dinwisp01
114,Donte DiVincenzo,SG,26,GSW,26,572,11.5,.558,.692,.154,4.1,17.1,10.7,16.8,2.5,0.3,17.4,14.8,,0.3,0.7,1.0,.086,,-2.0,1.8,-0.1,0.3,divindo01
115,Luka Dončić,PG,23,DAL,32,1183,31.5,.617,.359,.476,3.2,24.9,13.9,48.3,2.3,1.4,12.1,38.1,,4.7,1.8,6.5,.263,,8.6,2.5,11.2,3.9,doncilu01
116,Tyler Dorsey,SG,26,DAL,3,8,47.1,.900,.400,.000,14.6,15.0,14.8,0.0,0.0,0.0,0.0,28.4,,0.1,0.0,0.1,.388,,16.6,1.6,18.2,0.0,dorsety01
