
Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP,Player-additional
47,Goga Bitadze,C,21,IND,45,561,16.3,.523,.407,.314,11.7,17.3,14.5,8.9,0.8,8.7,7.1,18.1,,0.7,0.8,1.5,.129,,-2.0,1.0,-1.0,0.1,bitadgo01
48,Bismack Biyombo,C,28,CHO,66,1349,11.7,.574,.004,.434,10.8,17.1,13.9,8.3,0.6,5.4,19.8,11.5,,0.9,1.4,2.3,.081,,-3.4,0.4,-3.0,-0.4,biyombi01
49,Nemanja Bjelica,PF,32,TOT,37,595,12.9,.554,.434,.260,5.4,18.5,11.9,16.2,1.2,0.8,13.1,18.4,,0.5,0.3,0.9,.071,,-1.4,-0.8,-2.2,0.0,bjeline01
49,Nemanja Bjelica,PF,32,SAC,26,439,12.7,.555,.387,.280,6.0,19.5,12.6,15.3,0.9,0.4,14.3,19.3,,0.3,0.1,0.5,.052,,-1.3,-1.3,-2.6,-0.1,bjeline01
49,Nemanja Bjelica,PF,32,MIA,11,156,13.3,.550,.587,.196,3.7,15.8,9.9,18.7,2.2,2.0,9.1,15.9,,0.2,0.2,0.4,.122,,-1.8,0.4,-1.3,0.0,bjeline01
50,Eric Bledsoe,SG,31,NOP,71,2111,11.5,.533,.486,.267,1.5,11.1,6.3,17.3,1.2,1.1,12.3,18.5,,1.1,1.3,2.3,.053,,-1.2,-0.9,-2.0,0.0,bledser01
51,Keljin Blevins,SF,25,POR,17,75,-0.9,.300,.400,.000,4.2,10.3,7.1,6.7,1.3,0.0,20.0,14.3,,-0.2,0.0,-0.2,-0.137,,-8.3,-2.3,-10.7,-0.2,blevike01
52,Bogdan Bogdanović,SG,28,ATL,44,1305,17.6,.616,.589,.078,1.7,11.5,6.7,17.6,1.8,0.9,8.5,21.3,,2.8,1.1,3.9,.142,,3.3,0.3,3.6,1.8,bogdabo01
53,Bojan Bogdanović,SF,31,UTA,72,2216,14.0,.588,.498,.286,2.0,11.1,6.7,9.1,1.0,0.1,10.9,22.8,,2.7,2.5,5.2,.113,,0.2,-0.7,-0.4,0.9,bogdabo02
54,Bol Bol,PF,21,DEN,32,160,9.4,.534,.414,.259,0.0,16.9,8.5,6.0,0.9,6.1,16.8,21.2,,-0.2,0.2,0.0,-0.004,,-3.8,-0.3,-4.1,-0.1,bolbo01
